iter	RMSE
0	5860.633847
1	5220.006349
2	4685.10806
3	4260.110706
4	3912.389453
5	3646.294372
6	3425.553269
7	3249.131897
8	3102.253077
9	2992.493394
10	2880.790663
11	2801.095486
12	2743.671407
13	2675.316994
14	2614.134876
15	2579.533696
16	2552.379072
17	2515.135048
18	2475.662855
19	2450.722067
20	2426.198427
21	2395.132196
22	2378.371581
23	2356.326076
24	2341.28039
25	2333.103896
26	2316.355253
27	2303.532472
28	2288.407087
29	2278.695655
30	2259.679356
31	2241.573881
32	2226.554498
33	2217.994491
34	2203.127028
35	2196.247319
36	2181.154637
37	2173.675868
38	2163.635573
39	2156.933505
40	2140.356409
41	2132.670232
42	2132.413512
43	2132.198706
44	2128.122376
45	2120.028644
46	2119.74648
47	2119.531558
48	2119.241666
49	2119.083275
50	2107.428052
51	2107.232158
52	2107.003151
53	2099.484352
54	2090.017153
55	2089.801668
56	2089.55963
57	2088.597825
58	2088.356415
59	2088.129825
60	2077.487051
61	2068.770897
62	2068.440026
