iter	Passed	Remaining
0	275	17055
1	575	17559
2	845	16917
3	1107	16339
4	1413	16394
5	1704	16190
6	2005	16045
7	2346	16131
8	2644	15864
9	2923	15497
10	3199	15124
11	3447	14650
12	3752	14433
13	4010	14037
14	4270	13665
15	4538	13332
16	4834	13081
17	5089	12723
18	5448	12616
19	5751	12366
20	6046	12093
21	6316	11772
22	6611	11498
23	6892	11200
24	7127	10834
25	7368	10485
26	7644	10192
27	7903	9879
28	8202	9617
29	8483	9331
30	8748	9030
31	9031	8748
32	9314	8468
33	9579	8171
34	9882	7905
35	10160	7620
36	10475	7360
37	10767	7083
38	11038	6792
39	11312	6504
40	11579	6213
41	11880	5940
42	12164	5657
43	12485	5391
44	12742	5097
45	13049	4822
46	13368	4551
47	13606	4251
48	13868	3962
49	14197	3691
50	14478	3406
51	14760	3122
52	15038	2837
53	15321	2553
54	15633	2273
55	15917	1989
56	16186	1703
57	16489	1421
58	16732	1134
59	17046	852
60	17312	567
61	17565	283
62	17816	0
